TIMESTAMP,ContextTokens,GeneratedTokens
2024-05-10 00:00:27.538105+00:00,1338,12
2024-05-10 00:00:27.583150+00:00,1047,264
2024-05-10 00:00:27.583658+00:00,1353,11
2024-05-10 00:00:27.634166+00:00,464,1
2024-05-10 00:00:27.658210+00:00,217,1
2024-05-10 00:00:27.776072+00:00,1942,9
2024-05-10 00:00:27.787185+00:00,1536,19
2024-05-10 00:00:27.833968+00:00,1078,3
2024-05-10 00:00:27.887278+00:00,464,10
2024-05-10 00:00:27.910833+00:00,217,15
2024-05-10 00:00:28.025618+00:00,682,11
2024-05-10 00:00:28.026307+00:00,199,6
2024-05-10 00:00:28.051260+00:00,1536,13
2024-05-10 00:00:28.084383+00:00,1353,3
2024-05-10 00:00:28.088135+00:00,1491,12
2024-05-10 00:00:28.136417+00:00,84,1
2024-05-10 00:00:28.333006+00:00,1079,14
2024-05-10 00:00:28.528214+00:00,1114,6
2024-05-10 00:00:28.529194+00:00,682,12
2024-05-10 00:00:28.530691+00:00,1080,15
2024-05-10 00:00:28.536858+00:00,557,8
2024-05-10 00:00:28.537985+00:00,1336,16
2024-05-10 00:00:28.584268+00:00,1353,11
2024-05-10 00:00:28.586526+00:00,1494,9
2024-05-10 00:00:28.587271+00:00,1763,4
2024-05-10 00:00:28.632174+00:00,84,18
2024-05-10 00:00:28.756971+00:00,1593,20
2024-05-10 00:00:28.907432+00:00,222,13
2024-05-10 00:00:29.028640+00:00,1081,16
2024-05-10 00:00:29.279850+00:00,1114,6
2024-05-10 00:00:29.292795+00:00,441,14
2024-05-10 00:00:29.297133+00:00,1336,31
2024-05-10 00:00:29.332240+00:00,1353,9
2024-05-10 00:00:29.334665+00:00,1495,10
2024-05-10 00:00:29.503320+00:00,159,17
2024-05-10 00:00:29.528599+00:00,20,24
2024-05-10 00:00:29.537731+00:00,1426,19
2024-05-10 00:00:29.541077+00:00,122,18
2024-05-10 00:00:29.588787+00:00,1353,3
2024-05-10 00:00:29.590239+00:00,1254,10
2024-05-10 00:00:29.592690+00:00,1766,1
2024-05-10 00:00:29.651941+00:00,1020,3
2024-05-10 00:00:29.778210+00:00,140,78
2024-05-10 00:00:29.779147+00:00,204,12
2024-05-10 00:00:29.834851+00:00,1355,9
2024-05-10 00:00:29.880872+00:00,1402,1
2024-05-10 00:00:29.902142+00:00,1233,2
2024-05-10 00:00:30.027658+00:00,1942,16
2024-05-10 00:00:30.037805+00:00,1425,14
2024-05-10 00:00:30.275460+00:00,204,12
2024-05-10 00:00:30.277040+00:00,140,19
2024-05-10 00:00:30.340857+00:00,1803,2
2024-05-10 00:00:30.538195+00:00,450,15
2024-05-10 00:00:30.540709+00:00,122,10
2024-05-10 00:00:30.589105+00:00,147,67
2024-05-10 00:00:30.633739+00:00,1402,12
2024-05-10 00:00:30.776212+00:00,24,17
2024-05-10 00:00:31.008646+00:00,161,1
2024-05-10 00:00:31.025280+00:00,504,2
2024-05-10 00:00:31.025349+00:00,25,5
2024-05-10 00:00:31.038629+00:00,125,13
2024-05-10 00:00:31.337111+00:00,1504,18
2024-05-10 00:00:31.405312+00:00,1315,13
2024-05-10 00:00:31.502745+00:00,162,1
2024-05-10 00:00:31.524255+00:00,25,14
2024-05-10 00:00:31.524961+00:00,683,3
2024-05-10 00:00:31.758833+00:00,162,6
2024-05-10 00:00:31.787247+00:00,125,13
2024-05-10 00:00:32.021381+00:00,1388,3
2024-05-10 00:00:32.289069+00:00,125,13
2024-05-10 00:00:32.339501+00:00,959,9
2024-05-10 00:00:32.513808+00:00,1246,20
2024-05-10 00:00:32.523929+00:00,685,18
2024-05-10 00:00:32.592146+00:00,1357,1
2024-05-10 00:00:32.592338+00:00,1252,4
2024-05-10 00:00:32.592451+00:00,1579,11
2024-05-10 00:00:32.761158+00:00,396,7
2024-05-10 00:00:32.771790+00:00,1945,19
2024-05-10 00:00:32.771974+00:00,140,3
2024-05-10 00:00:32.772549+00:00,1388,3
2024-05-10 00:00:32.909824+00:00,292,114
2024-05-10 00:00:33.024342+00:00,685,12
2024-05-10 00:00:33.024981+00:00,1388,3
2024-05-10 00:00:33.132348+00:00,134,3
2024-05-10 00:00:33.264660+00:00,1592,24
2024-05-10 00:00:33.274765+00:00,689,13
2024-05-10 00:00:33.274967+00:00,929,12
2024-05-10 00:00:33.337573+00:00,1357,8
2024-05-10 00:00:33.382940+00:00,300,9
2024-05-10 00:00:33.407550+00:00,1604,8
2024-05-10 00:00:33.507773+00:00,727,27
2024-05-10 00:00:33.524853+00:00,1948,3
2024-05-10 00:00:33.525336+00:00,1390,4
2024-05-10 00:00:33.526055+00:00,1188,16
2024-05-10 00:00:33.534960+00:00,349,17
2024-05-10 00:00:33.586169+00:00,1495,1
2024-05-10 00:00:33.657649+00:00,1316,153
2024-05-10 00:00:33.660036+00:00,1604,20
2024-05-10 00:00:33.789176+00:00,559,1
2024-05-10 00:00:33.834730+00:00,1494,9
2024-05-10 00:00:33.882223+00:00,1503,15
2024-05-10 00:00:33.885005+00:00,1402,49
2024-05-10 00:00:33.905554+00:00,290,102
2024-05-10 00:00:34.023860+00:00,1391,2
2024-05-10 00:00:34.025123+00:00,931,12
2024-05-10 00:00:34.132174+00:00,138,6
2024-05-10 00:00:34.133452+00:00,301,15
2024-05-10 00:00:34.274248+00:00,1187,1
2024-05-10 00:00:34.275567+00:00,1187,1
2024-05-10 00:00:34.287538+00:00,559,7
2024-05-10 00:00:34.510993+00:00,1425,50
2024-05-10 00:00:34.514740+00:00,17,1
2024-05-10 00:00:34.522906+00:00,25,15
2024-05-10 00:00:34.524193+00:00,931,27
2024-05-10 00:00:34.524882+00:00,1187,9
2024-05-10 00:00:34.536513+00:00,1338,203
2024-05-10 00:00:34.755651+00:00,1650,11
2024-05-10 00:00:34.755775+00:00,492,5
2024-05-10 00:00:34.772971+00:00,142,3
2024-05-10 00:00:34.777786+00:00,351,3
2024-05-10 00:00:34.790482+00:00,1337,31
2024-05-10 00:00:34.880674+00:00,1504,1
2024-05-10 00:00:34.906035+00:00,1608,10
2024-05-10 00:00:34.906677+00:00,1608,1
2024-05-10 00:00:35.024812+00:00,1187,19
2024-05-10 00:00:35.028836+00:00,634,3
2024-05-10 00:00:35.086398+00:00,148,8
2024-05-10 00:00:35.151874+00:00,1609,1
2024-05-10 00:00:35.271748+00:00,1649,60
2024-05-10 00:00:35.272113+00:00,1184,2
2024-05-10 00:00:35.275797+00:00,17,2
2024-05-10 00:00:35.516113+00:00,260,3
2024-05-10 00:00:35.517093+00:00,25,5
2024-05-10 00:00:35.522004+00:00,351,13
2024-05-10 00:00:35.536764+00:00,1731,3
2024-05-10 00:00:35.537356+00:00,560,5
2024-05-10 00:00:35.633583+00:00,1405,75
